fid,A0,A1,A2,A3,A4,xcoord,ycoord
1,11,"11110",종로구,2026/01/01,"11110",126.978136588811,37.5971343689791
2,34,"11140",중구,2026/01/01,"11140",126.996767182252,37.562368986214
3,1,"11170",용산구,2026/01/01,"11170",126.980686581939,37.5336089426617
4,1,"11200",성동구,2026/01/01,"11200",127.041837547562,37.5532436683558
5,49,"11215",광진구,2026/01/01,"11215",127.086534659336,37.5489491025219
6,232,"11230",동대문구,2026/01/01,"11230",127.055647290155,37.5841760756085
7,34,"11260",중랑구,2026/01/01,"11260",127.093678963339,37.6000105195822
8,1,"11290",성북구,2026/01/01,"11290",127.018396176807,37.6079244723428
9,3,"11305",강북구,2026/01/01,"11305",127.011993411344,37.6456917055205
10,1,"11320",서울시도봉구,2026/01/01,"11320",127.033152624025,37.6713162714173
11,1,"11350",서울시노원구,2026/01/01,"11350",127.075847714065,37.6547192229349
12,1,"11380",은평구,2026/01/01,"11380",126.927828141526,37.6214305662775
13,1,"11410",서대문구,2026/01/01,"11410",126.939871520833,37.580002310491
14,2,"11440",마포구,2026/01/01,"11440",126.909066320527,37.56153934751
15,1,"11470",양천구,2026/01/01,"11470",126.856203452366,37.5269698684708
16,1,"11500",강서구,2026/01/01,"11500",126.823651231654,37.5634508351614
17,2,"11530",구로구,2026/01/01,"11530",126.857147669712,37.4966416189409
18,1,"11545",금천구,2026/01/01,"11545",126.901626195127,37.4628006696651
19,1,"11560",영등포구,2026/01/01,"11560",126.91097652171,37.5245520052338
20,1,"11590",동작구,2026/01/01,"11590",126.952447729825,37.5010715182108
21,1,"11620",관악구,2026/01/01,"11620",126.946139347302,37.4696084894614
22,34,"11650",서초구,2026/01/01,"11650",127.032013844251,37.4755277700179
23,1,"11680",강남구,2026/01/01,"11680",127.063777329572,37.4988966753852
24,1,"11710",송파구,2026/01/01,"11710",127.116091190567,37.5078514973149
25,1,"11740",강동구,2026/01/01,"11740",127.147790656241,37.5526662612007
26,1,"46890",완도군,2026/01/01,"46890",126.777193471601,34.2973656905472
27,2,"46900",진도군,2026/01/01,"46900",126.215073800952,34.4398326026957
28,1,"46910",신안군,2026/01/01,"46910",126.04976575128,34.8166821838274
29,1,"47111",포항시 남구,2026/01/01,"47110",129.438265245309,35.9605690065755
30,2,"47113",포항시 북구,2026/01/01,"47110",129.234555809042,36.1674838075088
31,2,"47130",경주시,2026/01/01,"47130",129.236557264013,35.8290887911501
32,51,"47150",김천시,2026/01/01,"47150",128.078417705256,36.062830820154
33,370,"47170",안동시,2026/01/01,"47170",128.780695984893,36.5825842369939
34,55,"47190",구미시,2026/01/01,"47190",128.356242531508,36.2096990557205
35,1,"47210",영주시,2026/01/01,"47210",128.598339120772,36.872815911882
36,1,"47230",영천시,2026/01/01,"47230",128.943347369589,36.0181156517048
37,6,"47250",상주시,2026/01/01,"47250",128.067643724824,36.4319329889452
38,1,"47280",문경시,2026/01/01,"47280",128.149603533617,36.6932700073082
39,3,"47290",경산시,2026/01/01,"47290",128.809719330627,35.8362352841741
40,1,"47730",의성군,2026/01/01,"47730",128.615829254596,36.3644291607253
41,34,"47750",청송군,2026/01/01,"47750",129.058007687998,36.3593513988749
42,34,"47760",영양군,2026/01/01,"47760",129.145624946641,36.698724749125
43,1,"47770",영덕군,2026/01/01,"47770",129.317986524726,36.4847595797136
44,34,"47820",청도군,2026/01/01,"47820",128.788068997061,35.6757577033854
45,369,"47830",고령군,2026/01/01,"47830",128.306545895612,35.7390724820007
46,1,"47840",성주군,2026/01/01,"47840",128.234314842337,35.9095657723135
47,1,"47850",칠곡군,2026/01/01,"47850",128.463355208958,36.0178959714114
48,3,"47900",예천군,2026/01/01,"47900",128.423114821379,36.6563563953829
49,42,"47920",봉화군,2026/01/01,"47920",128.913535779301,36.9364468441046
50,1,"47930",울진군,2026/01/01,"47930",129.313006947924,36.906208237343
51,691,"47940",울릉군,2026/01/01,"47940",130.864549141262,37.5047223323548
52,10714,"48127",창원시마산회원구,2026/01/01,"48120",128.537109429243,35.2347498846687
53,10622,"48121",창원시의창구,2026/01/01,"48120",128.649581606781,35.3143642143924
54,10734,"48123",창원시성산구,2026/01/01,"48120",128.672250631178,35.2013726168468
55,10618,"48129",창원시진해구,2026/01/01,"48120",128.736066882615,35.1328978793002
56,10654,"48125",창원시마산합포구,2026/01/01,"48120",128.486252379793,35.1381183323754
57,1,"48170",진주시,2026/01/01,"48170",128.130515572305,35.2076656584191
58,3311,"48220",통영시,2026/01/01,"48220",128.374325869512,34.8296839193735
59,1973,"48240",사천시,2026/01/01,"48240",128.038448489965,35.0522003604749
60,355,"48250",김해시,2026/01/01,"48250",128.845884001219,35.2746492835899
61,1,"48270",밀양시,2026/01/01,"48270",128.790259072766,35.5009831526923
62,21490,"48310",거제시,2026/01/01,"48310",128.62378001544,34.8730794120755
63,2391,"48330",양산시,2026/01/01,"48330",129.041659663614,35.4043797394467
64,2,"48720",의령군,2026/01/01,"48720",128.277776540788,35.39494151045
65,2,"48730",함안군,2026/01/01,"48730",128.431526031649,35.2934773382903
66,1,"48740",창녕군,2026/01/01,"48740",128.493881176796,35.5107950129678
67,1,"48820",고성군,2026/01/01,"48820",128.291327826554,35.0187906827064
68,2,"48840",남해군,2026/01/01,"48840",127.941909500123,34.8208614967013
69,1,"48850",하동군,2026/01/01,"48850",127.779851116926,35.140491802678
70,34,"48860",산청군,2026/01/01,"48860",127.885074051126,35.3711072901668
71,1,"48870",함양군,2026/01/01,"48870",127.722811682756,35.5541077508007
72,1,"48880",거창군,2026/01/01,"48880",127.904960300399,35.7350145647235
73,1,"48890",합천군,2026/01/01,"48890",128.142251044735,35.5790916055887
74,690,"50110",제주시,2026/01/01,"50110",126.53013937907,33.4449447778844
75,659,"50130",서귀포시,2026/01/01,"50130",126.581912228903,33.3277356525447
76,1,"51110",춘천시,2026/01/01,"51110",127.740646375759,37.8919627317153
77,1,"51130",원주시,2026/01/01,"51130",127.930257468898,37.310512761656
78,674,"51150",강릉시,2026/01/01,"51150",128.833009784349,37.7112890884442
79,967,"51170",동해시,2026/01/01,"51170",129.056226286117,37.5089499394803
80,1,"51190",태백시,2026/01/01,"51190",128.980681063593,37.1745933524053
81,2,"51210",속초시,2026/01/01,"51210",128.52038243805,38.1781692045658
82,1,"51230",삼척시,2026/01/01,"51230",129.122674770625,37.2796476989862
83,1,"51720",홍천군,2026/01/01,"51720",128.07498413287,37.7472723444619
84,2,"51730",횡성군,2026/01/01,"51730",128.077736918566,37.5112573817912
85,34,"51750",영월군,2026/01/01,"51750",128.501354553017,37.2061879531238
86,1,"51760",평창군,2026/01/01,"51760",128.483250302586,37.5589872627975
87,34,"51770",정선군,2026/01/01,"51770",128.739686290445,37.3809166796221
88,1,"51780",철원군,2026/01/01,"51780",127.415287845956,38.2462022145211
89,2,"51790",화천군,2026/01/01,"51790",127.685690129018,38.1404734880032
90,1,"51800",양구군,2026/01/01,"51800",128.000939427079,38.1777610613761
91,371,"51810",인제군,2026/01/01,"51810",128.264039297815,38.0709572329705
92,1,"51820",고성군,2026/01/01,"51820",128.411845361091,38.364899400925
93,1,"51830",양양군,2026/01/01,"51830",128.595725241534,38.0066804109251
94,1,"52111",전주시완산구,2026/01/01,"52110",127.121564367997,35.7936893153049
95,2,"52113",전주시덕진구,2026/01/01,"52110",127.112861777948,35.8606041368021
96,1,"52130",군산시,2026/01/01,"52130",126.726571685846,35.9528744452117
97,3,"52140",익산시,2026/01/01,"52140",126.990318570208,36.0255883756838
98,2,"52180",정읍시,2026/01/01,"52180",126.906674280009,35.6050856985648
99,1,"52190",남원시,2026/01/01,"52190",127.442664648916,35.4250237316868
100,369,"52210",김제시,2026/01/01,"52210",126.906369590708,35.8070013622977
101,4,"52710",완주군,2026/01/01,"52710",127.216048886872,35.9210807081651
102,50,"52720",진안군,2026/01/01,"52720",127.430787982719,35.8312174668319
103,1,"52730",무주군,2026/01/01,"52730",127.713691030063,35.9417866624441
104,1,"52740",장수군,2026/01/01,"52740",127.544959798129,35.6599039136167
105,1,"52750",임실군,2026/01/01,"52750",127.237432516585,35.6006556315338
106,1,"52770",순창군,2026/01/01,"52770",127.090751479609,35.4361098289602
107,1,"52790",고창군,2026/01/01,"52790",126.616960706614,35.4506093846682
108,2,"52800",부안군,2026/01/01,"52800",126.645183006197,35.6803331661296
109,4,"28185",연수구,2026/01/01,"28185",126.650158083143,37.3968739735309
110,3695,"41115",수원시 팔달구,2026/01/01,"41110",127.017432108268,37.279883842221
111,3696,"41113",수원시 권선구,2026/01/01,"41110",126.980566562127,37.2627785083316
112,3697,"41117",수원시 영통구,2026/01/01,"41110",127.057515056911,37.2773180290429
113,3698,"41111",수원시 장안구,2026/01/01,"41110",127.004285245631,37.3162530411424
114,2274,155-1,"4615013300101550001",2026/01/01,"46150",127.530808575672,34.0637902395161
115,1,"43745",증평군,2026/01/01,"43745",127.605361851274,36.788785035082
116,4,28 전,"5119010500100280000",2026/01/01,"51190",129.004246441312,36.226823435696
117,111,"28177",미추홀구,2026/01/01,"28177",126.665456177787,37.4548081508144
118,2,25 전,"5119010500100250000",2026/01/01,"51190",129.003773583216,36.2282439484075
119,325,"46790",화순군,2026/01/01,"46790",127.034249237043,35.0107077053026
120,54,"41210",광명시,2026/01/01,"41210",126.865508160064,37.4474062804525
121,3,26 대,"5119010500100260000",2026/01/01,"51190",129.003395563696,36.2275549045733
122,1009,"26110",중구,2026/01/01,"26110",129.032181601406,35.1080147496532
123,369,"26140",서구,2026/01/01,"26140",129.015533836931,35.1056203544156
124,690,"26170",동구,2026/01/01,"26170",129.045330774895,35.1315648974518
125,35,"26200",영도구,2026/01/01,"26200",129.065494872127,35.0811849853247
126,689,"26230",부산진구,2026/01/01,"26230",129.043704855794,35.1677685835833
127,49,"26260",동래구,2026/01/01,"26260",129.079864345464,35.2087336850648
128,1330,"26290",남구,2026/01/01,"26290",129.094915361186,35.1280897299465
129,49,"26320",북구,2026/01/01,"26320",129.024097200041,35.2317742948849
130,1329,"26350",해운대구,2026/01/01,"26350",129.154218068687,35.1963772684534
131,1009,"26380",사하구,2026/01/01,"26380",128.974731680634,35.0914907073289
132,369,"26410",금정구,2026/01/01,"26410",129.092154941769,35.2614200520001
133,51,"26440",강서구,2026/01/01,"26440",128.895309902623,35.1428761334147
134,369,"26470",연제구,2026/01/01,"26470",129.083591456421,35.1849283906583
135,369,"26500",수영구,2026/01/01,"26500",129.111789840325,35.1638625805949
136,49,"26530",사상구,2026/01/01,"26530",128.987720743973,35.161591739709
137,1329,"26710",기장군,2026/01/01,"26710",129.201578609846,35.3005331325077
138,1,"27110",중구,2026/01/01,"27110",128.594207178993,35.8689225370732
139,1,"27140",동구,2026/01/01,"27140",128.686368859028,35.9367360449207
140,1,"27170",서구,2026/01/01,"27170",128.550327195413,35.8774852040744
141,2,"27200",남구,2026/01/01,"27200",128.585999219667,35.8376035544052
142,689,"27230",북구,2026/01/01,"27230",128.578081062949,35.9309430631824
143,1,"27260",수성구,2026/01/01,"27260",128.661858195516,35.8361599354642
144,1,"27290",달서구,2026/01/01,"27290",128.52981212295,35.830129202743
145,3,"27710",대구광역시 달성군,2026/01/01,"27710",128.498007909744,35.7612727716659
146,34,"27720",군위군,2026/01/01,"27720",128.648906094469,36.1725592993092
147,1,"28110",중구,2026/01/01,"28110",126.485447212161,37.4713124011498
148,370,"28140",동구,2026/01/01,"28140",126.63985746305,37.4855713026768
149,1030,"28200",남동구,2026/01/01,"28200",126.727420103002,37.4332257373435
150,49,"28237",부평구,2026/01/01,"28237",126.722021408541,37.498891576706
151,1,"28245",계양구,2026/01/01,"28245",126.735500630305,37.5595191978268
152,2,"28260",서구,2026/01/01,"28260",126.656567460619,37.5601414498651
153,3,"28710",강화군,2026/01/01,"28710",126.402578651073,37.7150595413516
154,1010,"28720",옹진군,2026/01/01,"28720",125.640605657235,37.5450804971801
155,1,"29110",동구,2026/01/01,"29110",126.950252577642,35.1199199779103
156,1,"29140",서구,2026/01/01,"29140",126.851572451239,35.1381853862693
157,1,"29155",남구,2026/01/01,"29155",126.857638770826,35.0966256613509
158,1,"29170",북구,2026/01/01,"29170",126.926290720366,35.1957462963293
159,659,"29200",광산구,2026/01/01,"29200",126.753710385961,35.1675269148059
160,993,"30110",동구,2026/01/01,"30110",127.475794382795,36.3262546640014
161,353,"30140",중구,2026/01/01,"30140",127.41182390005,36.2832129437166
162,657,"30170",서구,2026/01/01,"30170",127.345881234293,36.2826329512899
163,977,"30200",유성구,2026/01/01,"30200",127.333991103913,36.3791173547887
164,353,"30230",대덕구,2026/01/01,"30230",127.440988286257,36.4145480989484
165,1,"31110",중구,2026/01/01,"31110",129.308843887646,35.5735491915686
166,1,"31140",남구,2026/01/01,"31140",129.32968576383,35.5173284492543
167,1009,"31170",동구,2026/01/01,"31170",129.4266144777,35.5279962929065
168,453,"31200",북구,2026/01/01,"31200",129.380402352563,35.6125387794479
169,1,"31710",울주군,2026/01/01,"31710",129.187593556299,35.5490459725395
170,1,"36110",세종특별자치시,2026/01/01,"36110",127.25950145421,36.5630158962021
171,1,"41133",성남시중원구,2026/01/01,"41130",127.164710802289,37.4357400522444
172,2,"41135",성남시분당구,2026/01/01,"41130",127.106661489017,37.3816461382712
173,3,"41131",성남시수정구,2026/01/01,"41130",127.104927987795,37.437501577456
174,369,"41150",의정부시,2026/01/01,"41150",127.069229057402,37.7383938357095
175,1068,"41171",안양시만안구,2026/01/01,"41170",126.912193218501,37.4063659903765
176,1085,"41173",안양시동안구,2026/01/01,"41170",126.956300645046,37.4026312131279
177,2,"41194",소사구,2026/01/01,"41190",126.797616064141,37.4771783321477
178,3,"41196",오정구,2026/01/01,"41190",126.794281226598,37.529823572145
179,4,"41192",원미구,2026/01/01,"41190",126.779767792818,37.5020166050562
197,1,"41220",평택시,2026/01/01,"41220",126.988521050452,37.0141834818829
250,1,"41250",동두천시,2026/01/01,"41250",127.078721220616,37.9187248516242
251,1,"41273",안산시단원구,2026/01/01,"41270",126.694769071221,37.2833129304478
252,2,"41271",안산시상록구,2026/01/01,"41270",126.871623721123,37.3182435073032
253,1,"41285",일산동구,2026/01/01,"41280",126.798153717719,37.6819876599042
254,2,"41281",덕양구,2026/01/01,"41280",126.879535886001,37.6581309092156
255,3,"41287",일산서구,2026/01/01,"41280",126.728467051719,37.6825159456037
256,658,"41290",과천시,2026/01/01,"41290",127.003577399382,37.4359161665317
257,658,"41310",구리시,2026/01/01,"41310",127.132099922129,37.6012388769657
258,3,"41360",남양주시,2026/01/01,"41360",127.244446842891,37.6647228720018
259,354,"41370",오산시,2026/01/01,"41370",127.052135221699,37.1655680222587
260,3,"41390",시흥시,2026/01/01,"41390",126.788709628145,37.3914168577786
261,34,"41410",군포시,2026/01/01,"41410",126.921869827237,37.3457151484686
262,2,"41430",의왕시,2026/01/01,"41430",126.99035324228,37.3646240952924
263,386,"41450",하남시,2026/01/01,"41450",127.206759249067,37.5251133395752
264,1,"41461",처인구,2026/01/01,"41460",127.253623689889,37.2056161277262
265,2,"41465",수지구,2026/01/01,"41460",127.072210783672,37.3357175205739
266,3,"41463",기흥구,2026/01/01,"41460",127.122048202701,37.2696952448693
267,979,"41480",파주시,2026/01/01,"41480",126.810134960794,37.8576747241372
268,118,"41500",이천시,2026/01/01,"41500",127.481795383549,37.2120551113113
269,1,"41550",안성시,2026/01/01,"41550",127.303055517783,37.0377355046672
270,50,"41570",김포시,2026/01/01,"41570",126.627102625568,37.6833659118423
271,1978,"41590",화성시,2026/01/01,"41590",126.865558327541,37.164218395915
272,6174,"41610",광주시,2026/01/01,"41610",127.301934131685,37.4053207915996
273,370,"41630",양주시,2026/01/01,"41630",127.00194825505,37.8108623364227
274,1,"41650",포천시,2026/01/01,"41650",127.251111448556,37.9719819568909
275,1,"41670",여주시,2026/01/01,"41670",127.616496674125,37.304711243986
276,1,"41800",연천군,2026/01/01,"41800",127.027833760243,38.098700758402
277,612,"41820",가평군,2026/01/01,"41820",127.450987760171,37.820670224461
278,2,"41830",양평군,2026/01/01,"41830",127.579999796932,37.520275884605
279,32899,"43111",상당구,2026/01/01,"43110",127.585635814336,36.5944663327138
280,32900,"43112",서원구,2026/01/01,"43110",127.439320152607,36.549884055608
281,32901,"43113",흥덕구,2026/01/01,"43110",127.369954612628,36.6492662295178
282,32902,"43114",청원구,2026/01/01,"43110",127.492164270004,36.7228969569712
283,675,"43130",충주시,2026/01/01,"43130",127.896437172029,37.0174143755245
284,338,"43150",제천시,2026/01/01,"43150",128.141681855642,37.0620132065098
285,1,"43720",보은군,2026/01/01,"43720",127.730072487856,36.4923055912698
286,355,"43730",옥천군,2026/01/01,"43730",127.657414866484,36.3227779162
287,1,"43740",영동군,2026/01/01,"43740",127.814965041676,36.1620977065469
288,690,"43750",진천군,2026/01/01,"43750",127.441349732632,36.873205937856
289,642,"43760",괴산군,2026/01/01,"43760",127.830151146754,36.772061926412
290,1,"43770",음성군,2026/01/01,"43770",127.614968579136,36.9784671092598
291,1,"43800",단양군,2026/01/01,"43800",128.388424652164,36.9965306852089
292,3554,"44131",천안시동남구,2026/01/01,"44130",127.22166363457,36.7664320711821
293,3574,"44130",천안시,2026/01/01,"44130",127.203318990781,36.8064333482555
294,3575,"44133",천안시서북구,2026/01/01,"44130",127.162623953129,36.8950104388128
295,34,"44150",공주시,2026/01/01,"44150",127.076013742409,36.4821809681859
296,2,"44180",보령시,2026/01/01,"44180",126.593797485862,36.3456559712586
297,50,"44200",아산시,2026/01/01,"44200",126.980869827923,36.8096350065442
298,1,"44210",서산시,2026/01/01,"44210",126.464382118007,36.7866236531382
299,50,"44230",논산시,2026/01/01,"44230",127.158505337004,36.1932795470021
300,1,"44250",계룡시,2026/01/01,"44250",127.235211845765,36.2939618582976
301,2,"44270",당진시,2026/01/01,"44270",126.654097892024,36.9058657400182
302,1,"44710",금산군,2026/01/01,"44710",127.479040604015,36.1214221188222
303,338,"44760",부여군,2026/01/01,"44760",126.857693832766,36.2487375089531
304,372,"44770",서천군,2026/01/01,"44770",126.705105948895,36.1091898241132
305,1,"44790",청양군,2026/01/01,"44790",126.853740366879,36.4330828457669
306,1009,"44800",홍성군,2026/01/01,"44800",126.626762649045,36.5724596744516
307,1,"44810",예산군,2026/01/01,"44810",126.785136519444,36.6729699314939
308,1671,"44825",태안군,2026/01/01,"44825",126.281363144254,36.7100301650614
309,1,"46110",목포시,2026/01/01,"46110",126.365660907113,34.7977912069993
310,2273,"46150",순천시,2026/01/01,"46150",127.390210190194,34.9972079562683
311,3,"46170",나주시,2026/01/01,"46170",126.720996433555,34.990884505091
312,321,"46230",광양시,2026/01/01,"46230",127.655270843245,35.0265197583437
313,1,"46710",담양군,2026/01/01,"46710",126.996099328015,35.2939798457859
314,1,"46720",곡성군,2026/01/01,"46720",127.26437262569,35.2191212923186
315,65,"46730",구례군,2026/01/01,"46730",127.503851596571,35.2394511103263
316,1,"46770",고흥군,2026/01/01,"46770",127.333039002648,34.6129135568119
317,1,"46780",보성군,2026/01/01,"46780",127.162929094179,34.816918035789
318,369,"46800",장흥군,2026/01/01,"46800",126.922364801985,34.6790717075604
319,977,"46810",강진군,2026/01/01,"46810",126.773014960712,34.6231748558878
320,1,"46820",해남군,2026/01/01,"46820",126.52279161009,34.547102445266
321,1,"46830",영암군,2026/01/01,"46830",126.634433654606,34.8017487737521
322,2,"46840",무안군,2026/01/01,"46840",126.426455574131,34.9558370510313
323,2,"46860",함평군,2026/01/01,"46860",126.536424345682,35.1151796489681
324,2,"46870",영광군,2026/01/01,"46870",126.45409035889,35.2809396248624
325,1,"46880",장성군,2026/01/01,"46880",126.769369484046,35.3321239108021
기타,기타,"41110",수원시,2026/01/23,"41110",127.0286,37.2636
기타,기타,"41130",성남시,2026/01/23,"41130",127.1265,37.4200
기타,기타,"41170",안양시,2026/01/23,"41170",126.9568,37.3943
기타,기타,"41190",부천시,2026/01/23,"41190",126.7940,37.4853
기타,기타,"41270",안산시,2026/01/23,"41270",126.8721,37.3176
기타,기타,"41280",고양시,2026/01/23,"41280",126.8221,37.6581
기타,기타,"41460",용인시,2026/01/23,"41460",127.1220,37.2697
기타,기타,"43110",청주시,2026/01/23,"43110",127.4922,36.6729
기타,기타,"46130",여수시,2026/01/23,"46130",127.3902,34.9972
기타,기타,"47110",포항시,2026/01/23,"47110",129.3800,36.0156
기타,기타,"48120",창원시,2026/01/23,"48110",128.6797,35.2273
기타,기타,"52110",전주시,2026/01/23,"52110",127.1480,35.8242